date,message,url
"2017-03-21, 10:00 a.m.",Not Pre-Approved for a Mortgage? You’re Wasting Your Real Estate Agent’s (& Your Own) Time. #RealEstate,https://www.biggerpockets.com/renewsblog/get-preapproved-mortgage
"2017-03-23, 10:00 a.m.","BP Podcast 047: Apartment Complexes, NNN Leases, and Commercial Real Estate with Joel Owens #RealEstate",http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/zKXVamxECx8/
"2017-03-28, 10:00 a.m.",Why Consistency is the Magic Ingredient to Ensure Your Real Estate Business Grows #RealEstate,https://www.biggerpockets.com/renewsblog/consistency-is-magic
"2017-03-30, 10:00 a.m.",4 Self-Sabotaging Excuses Holding You Back From Investing Success #RealEstate,https://www.biggerpockets.com/renewsblog/excuses-sabotage-success
"2017-04-04, 10:00 a.m.",Steve Wynn Cashes in With a $16.5M Sale of His Bel Air Estate #RealEstate,http://www.realtor.com/news/celebrity-real-estate/steve-wynn-sells-bel-air-estate/
"2017-04-06, 10:00 a.m.",9 Red Flags Underwriters Notice When You Apply for an FHA Loan for Your Flip #RealEstate,https://www.biggerpockets.com/renewsblog/fha-flip-red-flags
"2017-04-11, 10:00 a.m.",BP Podcast 205: Snowballing from Single Family Houses to Apartment Complexes with Jered Sturm #RealEstate,http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/G0cE4kHWZac/
"2017-04-13, 10:00 a.m.",10 Entrepreneurs Share Their Most Memorable Mentor-Taught Lessons #RealEstate,https://www.biggerpockets.com/renewsblog/mentor-taught-lessons
"2017-04-18, 10:00 a.m.",6 Inspiring Irish Homes (15 photos) #RealEstate,http://www.houzz.com/ideabooks/82535086/list/6-inspiring-irish-homes/
"2017-04-20, 10:00 a.m.",Not a “Morning Person”? Why That’s Simply a Lie You’re Telling Yourself #RealEstate,https://www.biggerpockets.com/renewsblog/morning-person
"2017-04-25, 10:00 a.m.",BP Podcast 168: Building Hundreds of Homes to Sell or Rent with Cameron Skinner #RealEstate,http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/aVyIa-mDiPE/
